ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
NOW,"SERVICENOW, INC.",2024,7245000000,325000000,5672000000,355000000.0,1573000000,24000000.0,1.61,1.6,17387000000,9759000000.0,3695000000,7777000000,7365000000,1470000000,2980000000.0,2036000000,1488000000.0,
NOW,"SERVICENOW, INC.",2023,5896000000,230000000,4543000000,257000000.0,1353000000,41000000.0,1.16,1.13,13299000000,8267000000.0,2834000000,6654000000,6005000000,1728000000,2810000000.0,1725000000,1486000000.0,
NOW,"SERVICENOW, INC.",2022,4519000000,119000000,3532000000,199000000.0,987000000,33000000.0,0.61,0.59,10798000000,7103000000.0,2127000000,5220000000,4949000000,1677000000,1576000000.0,1390000000,92000000.0,
NOW,"SERVICENOW, INC.",2021,3460000000,626698000,2664000000,42000000.0,796000000,33000000.0,3.36,3.18,8715000000,5881000000.0,1110000000,4522000000,3737000000,776000000,1415000000.0,1009000000,0.0,
NOW,"SERVICENOW, INC.",2020,2608816000,-26704000,1986158000,-42426000.0,622658000,52733000.0,-0.15,-0.15,6022430000,3894489000.0,778744000,2826901000,2752785000,566204000,915317000.0,835279000,694981000.0,
NVDA,NVIDIA CORP,2025,26974000000,4368000000,15356000000,4224000000.0,11618000000,262000000.0,0.18,0.17,65728000000,22750000000.0,26612000000,44345000000,10631000000,7280000000,18704000000.0,9999000000,8459000000.0,5282000000.0
NVDA,NVIDIA CORP,2024,26914000000,9752000000,17475000000,10041000000.0,9439000000,236000000.0,3.91,3.85,41182000000,19081000000.0,16893000000,23073000000,6563000000,3389000000,9907000000.0,3827000000,9703000000.0,5159000000.0
NVDA,NVIDIA CORP,2023,16675000000,4332000000,10396000000,4532000000.0,6279000000,184000000.0,1.76,1.73,44187000000,17575000000.0,12204000000,28829000000,4335000000,1990000000,19218000000.0,4650000000,10946000000.0,2605000000.0
NVDA,NVIDIA CORP,2022,10918000000,2796000000,6768000000,2846000000.0,4150000000,52000000.0,1.15,1.13,28791000000,11898000000.0,9342000000,16055000000,3925000000,847000000,10714000000.0,2429000000,5964000000.0,1826000000.0
NVDA,NVIDIA CORP,2021,11716000000,4141000000,7171000000,3804000000.0,4545000000,58000000.0,6.81,6.63,17315000000,5111000000.0,7471000000,13690000000,1784000000,10896000000,1000000.0,1657000000,1991000000.0,979000000.0
NVDA,NVIDIA CORP,2020,9714000000,3047000000,5822000000,3210000000.0,3892000000,61000000.0,5.09,4.82,13292000000,3950000000.0,5762000000,10557000000,1329000000,782000000,6640000000.0,1424000000,1988000000.0,1575000000.0
ORCL,Oracle Corporation,2025,49954000000,8503000000,13093000000,13093000000.0,36861000000,3505000000.0,3.15,3.07,140976000000,100193000000.0,8704000000,22554000000,31544000000,10454000000,207000000.0,7874000000,86869000000.0,334000000.0
ORCL,Oracle Corporation,2024,42440000000,6717000000,10926000000,10926000000.0,31514000000,2755000000.0,2.49,2.41,134384000000,109738000000.0,1073000000,21004000000,23090000000,9765000000,422000000.0,6915000000,90481000000.0,298000000.0
ORCL,Oracle Corporation,2023,40479000000,13746000000,15213000000,15213000000.0,25266000000,2496000000.0,4.67,4.55,109297000000,95554000000.0,-6220000000,31633000000,19511000000,21383000000,519000000.0,5953000000,75859000000.0,314000000.0
ORCL,Oracle Corporation,2022,39068000000,10135000000,13896000000,13896000000.0,25172000000,1995000000.0,3.16,3.08,131107000000,100991000000.0,5238000000,55567000000,24164000000,30098000000,16456000000.0,5409000000,0.0,142000000.0
ORCL,Oracle Corporation,2021,39506000000,11083000000,13535000000,13535000000.0,25971000000,2082000000.0,3.05,2.97,115438000000,85521000000.0,12074000000,52140000000,17200000000,37239000000,5818000000.0,5551000000,71597000000.0,211000000.0
ORCL,Oracle Corporation,2020,39383000000,3587000000,13264000000,13264000000.0,26119000000,2025000000.0,0.87,0.85,108709000000,67716000000.0,21785000000,46386000000,18630000000,20514000000,17313000000.0,5134000000,56167000000.0,320000000.0
PANW,Palo Alto Networks Inc,2025,6892700000,439700000,4983000000,387300000.0,1909700000,25800000.0,0.73,0.64,19990900000,14821200000.0,210000000,6849700000,7682700000,1135300000,1043600000.0,2618600000,963900000.0,115900000.0
PANW,Palo Alto Networks Inc,2024,5501500000,-267000000,3782800000,-188800000.0,1718700000,27400000.0,-0.9,-0.9,14501100000,12752700000.0,634500000,6048000000,7737500000,2118500000,1254700000.0,2463200000,1991500000.0,
PANW,Palo Alto Networks Inc,2023,4256100000,-498900000,2981200000,-304100000.0,1274900000,163300000.0,-1.73,-1.73,12253600000,12043600000.0,210000000,6414900000,8306300000,1874200000,1516000000.0,2142500000,3676800000.0,
PANW,Palo Alto Networks Inc,2022,3408400000,-267000000,2408900000,-179000000.0,999500000,88700000.0,-2.76,-2.76,10241600000,9478000000.0,634500000,4647300000,5116700000,2958000000,1026900000.0,1240400000,3226000000.0,
PANW,Palo Alto Networks Inc,2021,2899600000,-81900000,2091200000,-54100000.0,808400000,83900000.0,-0.87,-0.87,9065400000,,1101800000,5129200000,2691700000,961400000,789800000.0,1037100000,3084100000.0,
PANW,Palo Alto Networks Inc,2020,2273600000,-122200000,1628500000,-104200000.0,645100000,29600000.0,-1.33,-1.33,6592200000,,1586300000,3664800000,2053300000,2506900000,1841700000.0,582400000,1430000000.0,
PLTR,Palantir Technologies Inc.,2025,2225012000,209825000,1793907000,119966000.0,431105000,,0.1,0.09,6340884000,1246477000.0,5003275000,5934289000,996018000,831047000,3131463000.0,575048000,,
PLTR,Palantir Technologies Inc.,2024,1905871000,-373705000,1497322000,-161201000.0,408549000,,-0.18,-0.18,4522425000,961460000.0,3475561000,4138618000,746018000,2598540000,2843132000.0,364784000,,
PLTR,Palantir Technologies Inc.,2023,1541889000,-520379000,1202485000,-411046000.0,339404000,3640000.0,-0.27,-0.27,3461239000,818802000.0,2565326000,3041577000,587941000,2290674000,35135000.0,258346000,,
PLTR,Palantir Technologies Inc.,2022,1092673000,-1166391000,740126000,-1173679000.0,352547000,14139000.0,-1.19,-1.2,3247450000,956420000.0,-1980642000,2863250000,660061000,2011323000,234153000.0,190923000,,
PLTR,Palantir Technologies Inc.,2021,742555000,-579646000,500182000,-576444000.0,242373000,3061000.0,-1.02,-1.02,2690504000,1167954000.0,-1751428000,2257429000,603823000,1079154000,234153000.0,156932000,197977000.0,
PLTR,Palantir Technologies Inc.,2020,595409000,-580027000,430008000,-623440000.0,165401000,3440000.0,-1.11,-1.17,1594025000,1447436000.0,-1501562000,1214153000,728598000,1116342000,8942000.0,50315000,396065000.0,
PYPL,"PayPal Holdings, Inc.",2025,29771000000,4246000000,5028000000,5028000000.0,24743000000,347000000.0,3.85,3.84,78725000000,58308000000.0,20274000000,58206000000,45490000000,9081000000,4262000000.0,984000000,9879000000.0,
PYPL,"PayPal Holdings, Inc.",2024,27518000000,2419000000,3837000000,3837000000.0,23681000000,304000000.0,2.1,2.09,82166000000,61115000000.0,21727000000,62569000000,48466000000,7776000000,4979000000.0,1069000000,9676000000.0,
PYPL,"PayPal Holdings, Inc.",2023,25371000000,4169000000,4262000000,4262000000.0,21109000000,232000000.0,3.55,3.52,78624000000,58350000000.0,20274000000,57424000000,45008000000,5197000000,3092000000.0,963000000,10417000000.0,
